a+,"[0.0, 0.0]"
abound,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
abounds,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
abundance,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
abundant,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
accessable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
accessible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
acclaim,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
acclaimed,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
acclamation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
accolade,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
accolades,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
accommodative,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
accomodative,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
accomplish,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
accomplished,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
accomplishment,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
accomplishments,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
accurate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
accurately,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
achievable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
achievement,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
achievements,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
achievible,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
acumen,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adaptable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adaptive,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adequate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adjustable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
admirable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
admirably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
admiration,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
admire,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
admirer,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
admiring,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
admiringly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adorable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adore,"[0.0, 0.0, 0.0, 0.0, 0.0]"
adored,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adorer,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adoring,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adoringly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adroit,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adroitly,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adulate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adulation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adulatory,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
advanced,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
advantage,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
advantageous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
advantageously,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
advantages,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adventuresome,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
adventurous,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
advocate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
advocated,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
advocates,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affability,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affable,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affably,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affectation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affection,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affectionate,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affinity,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affirm,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affirmation,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
affirmative,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
